,Dust,7Be,137Cs,210Pb,40K,22Na,134Cs
2013-08-12,59.0,1014.0,,57.5,3.48,2.11,405.0
2013-08-19,51.0,720.0,0.653,43.7,4.78,5.22,507.0
2013-08-26,7.0,370.0,0.7,88.3,8.6,4.6,644.0
2013-09-02,33.0,854.0,0.2,57.9,6.11,1.89,466.0
2013-09-09,63.0,784.0,0.45,33.9,5.11,5.72,275.0
2013-09-16,29.0,1322.0,0.614,42.8,6.9,5.18,567.0
2013-09-23,9.0,608.0,0.639,64.5,6.4,3.51,
2013-09-30,18.0,714.0,0.212,34.0,2.87,5.05,
2013-10-07,55.0,588.0,0.47,22.8,4.05,4.58,
2013-10-14,57.0,638.0,0.362,22.7,1.95,,
2013-10-21,43.0,922.0,0.386,14.4,2.13,4.76,
2013-10-28,,466.0,0.509,31.1,2.12,2.88,
2013-11-04,31.0,1006.0,0.482,31.1,3.49,2.47,
2013-11-11,15.0,450.0,0.271,,,,
2013-11-18,31.0,468.0,0.159,36.6,3.12,3.19,
2013-11-25,30.0,388.0,0.291,26.0,3.33,3.27,
2013-12-02,40.0,680.0,0.351,34.3,3.97,3.84,
2013-12-09,8.0,640.0,0.43,37.6,3.16,4.03,
2013-12-16,65.0,522.0,0.257,28.4,4.05,2.94,
2013-12-23,54.0,376.0,0.275,36.6,1.33,1.86,
2013-12-30,15.0,366.0,0.14,14.7,2.64,1.36,
2014-01-06,60.0,556.0,0.258,28.8,1.2,3.3,
2014-01-13,11.0,514.0,0.158,45.8,3.79,2.34,
2014-01-20,20.0,474.0,0.272,45.1,2.98,3.08,
2014-01-27,23.0,766.0,0.443,33.2,3.14,2.25,
2014-02-03,30.0,324.0,0.227,35.9,3.11,2.98,
2014-02-10,20.0,1024.0,0.247,15.8,4.83,3.52,
2014-02-17,10.0,456.0,0.298,29.4,2.38,3.91,
2014-02-24,19.0,1078.0,,57.6,2.95,2.29,
2014-03-03,1.0,822.0,0.332,45.4,3.5,2.96,
2014-03-10,52.0,1060.0,0.454,27.9,3.76,4.71,
2014-03-17,0.0,1076.0,0.643,36.8,1.48,3.23,
2014-03-24,41.0,486.0,0.408,40.3,5.56,5.48,
2014-03-31,42.0,1162.0,0.339,20.3,5.85,5.12,
2014-04-07,61.0,1414.0,0.779,71.5,2.68,3.53,193.0
2014-04-14,37.0,768.0,0.748,75.4,7.29,5.29,450.0
2014-04-21,28.0,982.0,0.461,29.7,4.71,6.52,444.0
2014-04-28,7.0,1190.0,0.697,38.6,5.63,5.32,312.0
2014-05-05,14.0,776.0,0.766,49.9,5.27,3.7,
2014-05-12,18.0,1560.0,0.775,34.3,8.23,4.82,
2014-05-19,122.0,434.0,0.659,60.3,5.01,10.1,
2014-05-26,41.0,1606.0,,59.7,4.86,4.87,
2014-06-02,6.0,488.0,0.713,52.5,2.34,4.84,
2014-06-09,16.0,1584.0,0.429,106.5,8.52,3.73,
2014-06-16,39.0,1430.0,0.729,76.7,6.73,9.24,
2014-06-23,43.0,1082.0,0.685,67.3,7.71,9.82,
2014-06-30,32.0,486.0,0.348,49.4,6.77,4.12,
2014-07-07,11.0,1444.0,0.401,52.1,6.4,6.0,
2014-07-14,,,,,,,
2014-07-21,,,,,,,
2014-07-28,,,,,,,
2014-08-04,,,,,,,
2014-08-11,,,,,,,
2014-08-18,,,,,,,
2014-08-25,,,,,,,
2014-09-01,,,,,,,
2014-09-08,,,,,,,
2014-09-15,,,,,,,
2014-09-22,,,,,,,
2014-09-29,,,,,,,
2014-10-06,,,,,,,
2014-10-13,,,,,,,
2014-10-20,,,,,,,
2014-10-27,,,,,,,
2014-11-03,,,,,,,
2014-11-10,,,,,,,
2014-11-17,,,,,,,
2014-11-24,,,,,,,
2014-12-01,,,,,,,
2014-12-08,,,,,,,
2014-12-15,,,,,,,
2014-12-22,,,,,,,
